u,v,key,lamp_count,darkness_score
123439261,123358291,0,2671,0.0
8960708817,8960708914,0,2671,0.0
8960708914,8960708817,0,2671,0.0
6175738278,6175738279,0,2671,0.0
6175738279,6175738278,0,2671,0.0
6749836230,6749836230,0,2671,0.0
6749836230,6749836230,1,2671,0.0
123358291,123439261,0,2671,0.0
6816193689,6042989969,0,2671,0.0
26187155,122609462,0,2671,0.0
6042989969,6816193689,0,2671,0.0
4989824458,4989824458,0,2671,0.0
4989824458,4989824458,1,2671,0.0
122609462,26187155,0,2671,0.0
