lat,lon
33.989747,-118.458418
34.0406107,-118.5255518
34.0407515,-118.5259314
34.0409691,-118.5260307
34.0409157,-118.52471
34.0411904,-118.5259336
34.0413623,-118.5245522
34.0416,-118.5246283
34.0417024,-118.5249969
34.2662321,-118.3149267
34.2655523,-118.3157881
34.2669194,-118.3149796
34.267112,-118.3179716
34.2662069,-118.3157943
34.2669353,-118.3167443
34.2667353,-118.314929
34.2657222,-118.3149409
34.1875603,-118.4552116
34.2428854,-118.4670112
34.2429382,-118.4673099
34.243178,-118.4670498
34.2429088,-118.466873
34.2428814,-118.466546
34.2434956,-118.4665786
34.2436277,-118.4666005
34.2428871,-118.4659871
34.2428864,-118.4654916
34.2428834,-118.4650802
34.2428783,-118.4646661
34.2428783,-118.4642042
34.2428768,-118.4638149
34.2428703,-118.4633079
34.2428659,-118.4627885
34.2428666,-118.4623058
34.2428629,-118.4618471
34.2428534,-118.4613561
34.1026968,-118.4605272
34.0567266,-118.2521372
34.0566664,-118.2521924
34.0566073,-118.2522462
34.0565496,-118.2523005
33.9862921,-118.4748442
33.9865393,-118.4748652
33.9864862,-118.4750813
33.986465,-118.4748441
34.2427178,-118.4717626
34.2429149,-118.4720421
34.2429181,-118.4726614
34.242722,-118.4723588
34.1214236,-118.2964259
34.2771391,-118.6048084
34.2772197,-118.6046951
34.2761723,-118.6010463
34.275964,-118.6004759
34.2773604,-118.6047591
34.2772472,-118.6050919
34.2701832,-118.6324803
34.2696163,-118.6331605
34.2361593,-118.5243891
34.2361586,-118.523699
34.236159,-118.5240441
34.2399194,-118.5277607
34.2399194,-118.5278824
34.272835,-118.4625236
34.2286762,-118.4581806
34.2286757,-118.4578307
34.228676,-118.4580057
34.2287572,-118.4578306
34.2285942,-118.4578309
34.2285945,-118.4580059
34.2285947,-118.4581808
34.2287578,-118.4581804
34.2287575,-118.4580055
34.2285747,-118.4583633
34.2286681,-118.4583628
34.2287785,-118.4583625
34.228666,-118.4576488
34.2285735,-118.4576493
34.2287773,-118.4576485
34.1104016,-118.3355743
34.1910302,-118.4534374
34.1910194,-118.4536361
34.0403529,-118.1934548
34.0404328,-118.1931989
34.0404295,-118.1930813
34.0406022,-118.193595
34.0405551,-118.1939197
34.0407829,-118.1939861
34.040714,-118.1942744
34.0409206,-118.1947468
34.0409656,-118.1944321
34.0410773,-118.1950954
34.0411608,-118.1948298
34.0413325,-118.1952364
34.0412812,-118.1955664
34.0415269,-118.1956537
34.0414492,-118.1959129
34.0416933,-118.1960633
34.041642,-118.1963713
34.0418744,-118.1964473
34.0418429,-118.1967995
34.0421086,-118.1969575
34.0420791,-118.197324
34.0423482,-118.1974974
34.0423053,-118.1978339
34.0425604,-118.1979695
34.042521,-118.1983289
34.0427794,-118.1984677
34.0427216,-118.1987762
34.0429816,-118.1988989
34.0429533,-118.1992965
34.043193,-118.1993863
34.0431819,-118.1998235
34.0434358,-118.1999267
34.0434247,-118.2003378
34.0435703,-118.2002251
34.0434539,-118.2005543
34.0435298,-118.2005752
34.0436914,-118.2004983
34.0436339,-118.2002549
34.0436544,-118.2008674
34.0439195,-118.2010163
34.0438818,-118.2013825
34.0441313,-118.2015134
